Number,Name,Deployment State,Incident State,Type,Phone1,Phone2,Fax,E-Mail,Address,Note,Project
1024000015,7262 - Springfield IMMO Centar Outlet,Functional,Operational,Shop,011 / 216-79-12; 011 / 217-52-58,,,tien7262@spf.com,Gandijeva 21,,107
1024000016,7263 - Springfield Bulevar,Malfunctioned,Incident,Shop,011 / 303-72-78,,,tien7263@spf.com,Bul. Kralja Aleksandra 28-32,,107
1024000017,7269 - Springfield Nis Mercator Centar,Functional,Operational,Shop,018 / 203-240;  018 / 203-241,,,tien7269@spf.com,Vizantijski bulevar 1,,107
1024000018,7401 - Springfield TC BIG,Functional,Operational,Shop,021 / 270-13-16,,,tien7401@spf.com,Sentandrejski put 11,,107
1024000019,7469 - Women Secret Kolarceva,Functional,Operational,Shop,011 / 263-16-99; 011 / 262-37-44,,,tien7469@womensecret.com,Kolarceva 6-8,,107
1024000020,7470 - Women Secret Mercator BG,Functional,Operational,Shop,011 / 213-08-12,,,tien7470@womensecret.com,Bulevar Umetnosti 4,,107
1024000021,7471 - Women Secret Bulevar,Functional,Operational,Shop,011 / 243-69-09; 011 / 383-61-90,,,tien7471@womensecret.com,Bul. Kralja Aleksandra 92,,107
1024000022,7472 - Women Secret Pozeska,Functional,Operational,Shop,011 / 354-30-86; 011 / 354-33-10,,,tien7472@womensecret.com,Pozeska 67A,,107
1024000023,7473 - Women Secret Centar,Functional,Operational,Shop,021 / 472-47-81,,,tien7473@womensecret.com,Kralja Aleksandra 8,,107
1024000024,7474 - Women Secret Mercator NS,Functional,Operational,Shop,021 / 674-12-40,,,tien7474@womensecret.com,Bulevar Oslobodjenja 102,,107
1024000025,7475 - Women Secret Kragujevac,Functional,Operational,Shop,034 / 335-648,,,tien7475@womensecret.com,Lole Ribara 2,,107
1024000026,7476 - Women Secret Mercator Nis,Functional,Operational,Shop,018 / 200-680,064 / 827-32-23,,tien7476@womensecret.com,Vizantijski bulevar 1,,107
1024000027,7477 - Women Secret Usce,Functional,Operational,Shop,011 / 285-44-27; 011 / 312-10-38,,,tien7477@womensecret.com,Bulevar Mihajla Pupina 4,,107
1024000028,7520 - Women Secret Delta City BG,Functional,Operational,Shop,011 / 220-38-69; 011 / 220-38-70,,,tien7520@womensecret.com,Jurija Gagarina 16,,107
1024000029,7521 - Women Secret TC BIG,Functional,Operational,Shop,021 / 270-13-17,,,tien7521@womensecret.com,Sentandrejski put 11,,107
1024000030,7522 - Women Secret Nis TC Forum,Functional,Operational,Shop,018 / 240-320,061 / 313-01-34,,tien7522@womensecret.com,Obrenoviceva 42 (TC Forum),,107
1024000031,7523 - Women Secret Kraljevo,Functional,Operational,Shop,036 / 333-566,,,tien7523@womensecret.com,Milosa Velikog 22,,107
1024000032,7536 - Women Secret Delta City,Functional,Operational,Shop,+382 20 511-456,,,tien7536@grupocortefiel.com,Cetinjski put bb,,107
1024000033,7541 - Women Secret BBI Center,Functional,Operational,Shop,+387 33 267-455; +387 33 267-456,,,tien7541@womensecret.com,Trg Dijece Sarajeva 1,,107
1024000034,7590 - Women Secret City Center,Functional,Operational,Shop,+387 33 733-100; +387 33 733-101,,,tien7590@womensecret.com,"Vrbanja 1, TC City Center",,107
1024000035,7591 - Springfield Podgorica Delta City,Functional,Operational,Shop,+382 20 410-846; +382 20 410-847,,,tien7591@spf.com,Cetinjski put bb,,107
1024000036,7632 - Springfield Nis TC Forum,Functional,Operational,Shop,018 / 250-565; 018 / 250-566,,,tien7632@spf.com,Obrenoviceva 42 (TC Forum),,107
1024000037,9774 - Springfield Modena,Functional,Operational,Shop,021 / 472-20-20,,,tien9774@spf.com,Modene 1,,107
1024000038,7729 - Cortefiel Delta City,Functional,Operational,Shop,+382 20 410-912; +382 20 410-915,,,tien7729@grupocortefiel.com,Cetinjski put bb,,107
1024000039,7731 - Springfield City Center,Functional,Operational,Shop,+387 33 733-105; +387 33 733-106,,,tien7731@spf.com,"Vrbanja 1, TC City Center",,107
1024000040,7752 - Cortefiel City Center,Functional,Operational,Shop,+387 33 733-111,,,tien7752@grupocortefiel.com,"Vrbanja 1, TC City Center",,107
1024000041,Tendam HQ Croatia,Functional,Operational,Shop,,,,Tendam_hq@gmail.com,Selska cesta 32,,107
1024000042,Tendam HQ Serbia,Functional,Operational,Shop,,,,Tendam_HQ@gmail.com,Bul. Mihajla Pupina 115v,,107
1024000043,7502 - Springfield Zagreb City Center One,Retired,Incident,Shop,+385 99 267-66-73,,,tien7502@spf.com,Slavonska avenija,,107
1024000044,7503 - Springfield Zagreb Arena Mall,Retired,Operational,Shop,+385 99 267-66-69,,,tien7503@spf.com,Vice Vukova 6 (Arena Centar),Zatvorena 29/12/23,107
1024000045,7634 - Springfield Zagreb Ilica,Functional,Operational,Shop,+385 14 831-521,,,tien7634@spf.com,Ilica,,107
1024000046,7635 - Springfield Split City Center,Functional,Operational,Shop,+385 99 271-42-54,,,tien7635@spf.com,"Vukovarska 207, City Center",,107
1024000047,7636 - Springfield Osijek,Functional,Operational,Shop,+385 99 530-47-83,,,tien7636@spf.com,"Svilajska 31, Portanova Mall",,107
1024000048,7466 - Women Secret Petriceva,Retired,Incident,Shop,+385 14 811-571,,,tien7466@womensecret.com,Petriceva 4,,107
1024000049,7467 - Women Secret Arena Centar,Retired,Incident,Shop,+385 16 524-100,,,tien7467@womensecret.com,Laniste ulica 32 (Arena Centar),,107
1024000050,7482 - Women Secret ZTC Rijeka,Functional,Operational,Shop,+385 99 530-47-83,,,tien7482@womensecret.com,Zvonimirova 3,,107
1024000051,0002 Deichmann Banja Luka,Functional,Operational,Shop,,,,0002deichmannbanjaluka@gmail.com,Jovana Dicica 25,,108
1024000052,0010 Deichmann Beograd Delta City,Functional,Operational,Shop,011 / 312-97-79,,,0010deichmanndeltacitybeograd@gmail.com,Jurija Gagarina 16,,108
1024000053,0009 Deichmann Beograd Kaludjerica,Malfunctioned,Incident,Shop,011 / 685-30-95,,,0009deichmannkaludjericabeograd@gmail.com,Vojvode Stepe Stepanovica 9i,,108
1024000054,0011 Deichmann Beograd Karaburma,Functional,Operational,Shop,011 / 208-92-14,,,0011deichmannkaraburmabeograd@gmail.com,Mirijevski Bulevar 18b,,108
1024000055,0014 Deichmann Beograd Terazije,Functional,Operational,Shop,011 / 303-82-02,,,0014deichmannterazijebeograd@gmail.com,Terazije 15-23,,108
1024000056,0013 Deichmann Beograd Vozdovac,Functional,Operational,Shop,011 / 630-56-44,,,0013deichmannvozdovacbeograd@gmail.com,Zaplanjska 32,,108
1024000057,0002 Deichmann Kragujevac Delta Park,Retired,Incident,Shop,034 / 356-094,,,0002deichmannkragujevacdeltapark@gmail.com,Save Kovacevica 27,,108
1024000058,0007 Deichmann Kragujevac Plaza,Functional,Operational,Shop,034 / 610-03-75,,,0007deichmannkragujevacplaza@gmail.com,Bulevar Kraljice Marije 56,,108
1024000059,0005 Deichmann Krusevac,Functional,Operational,Shop,037 / 493-850,,,0005deichmannkrusevac@gmail.com,Ugao ulica Blagoja Parovica i II Dalmatinske brigade,,108
1024000060,0003 Deichmann Mladenovac,Functional,Operational,Shop,011 / 824-58-05,,,0003deichmannmladenovac@gmail.com,Brace Badzak br.2,,108
1024000061,0003 Deichmann Mostar,Functional,Operational,Shop,,,,0003deichmannmostar@gmail.com,Kardinala Stepinca,,108
1024000062,0001 Deichmann Nis,Functional,Operational,Shop,018 / 250-450,,,0001deichmannnis@gmail.com,Obrenoviceva 42,,108
1024000063,0008 Deichmann Novi Sad,Functional,Operational,Shop,021 / 452-284,,,0008deichmannnovisad@gmail.com,Sentandrejski put 11,,108
1024000064,0001 Deichmann Orasje,Functional,Operational,Shop,,,,0001deichmannorasje@gmail.com,Ulica XIV br.97,,108
1024000065,0018 Deichmann Cacak,Functional,Operational,Shop,,,,0018deichmanncacak@gmail.com,Bulevar Vuka Karadzica bb,,108
1024000066,0015 Deichmann Sabac,Functional,Operational,Shop,015/ 716-00-64,,,0015deichmannsabac@gmail.com,Zapadna Transverzala I br. 4,,108
1024000067,0006 Deichmann Sarajevo Franca Lehara,Functional,Operational,Shop,,,,0006deichmannsarajevofrancalehara@gmail.com,Bulevar Franca Lehara 2,,108
1024000068,0004 Deichmann Sarajevo Grand Centar,Functional,Operational,Shop,,,,0004deichmannsarajevograndcentar@gmail.com,Butimirska cesta 14,,108
1024000069,0005 Deichmann Sarajevo Lukavica,Functional,Operational,Shop,,,,0005deichmannsarajevolukavica@gmail.com,Vojvode R.Putnika,,108
1024000070,0011 Deichmann Tuzla,Functional,Operational,Shop,,,,0011deichmanntuzla@gmail.com,Univerzitetska br. 16,,108
1024000071,0004 Deichmann Usce,Functional,Operational,Shop,011 / 312-21-58,,,0004deichmannuscebeograd@gmail.com,Bulevar Mihajla Pupina 4,,108
1024000072,0016 Deichmann Zemun,Functional,Operational,Shop,011 / 316-65-32,,,0016deichmannzemun@gmail.com,Glavna 12-15,,108
1024000073,European Investment Bank,Functional,Operational,Shop,,,,EuropeaninvestmentBankflex@gmail.com,Vladimira Popovica 40,,104
1024000074,5505 Takko Beograd Idea,Functional,Operational,Shop,011 / 228-50-77,,,5505takkoideabeograd@gmail.com,Omladinskih brigada 100,,109
1024000075,Takko HQ,Functional,Operational,Shop,,,,takkohq@gmail.com,Milutina Milankovica 136,,109
1024000076,5508 Takko Karaburma,Functional,Operational,Shop,011 / 278-00-81,,,5508takkokaraburmabeograd@gmail.com,Mirijevski Bulevar 18b,,109
1024000077,5503 Takko Kragujevac,Functional,Operational,Shop,034 / 355-481,,,5503takkokragujevac@gmail.com,Save Kovacevica 27,,109
1024000078,5504 Takko Krusevac,Functional,Operational,Shop,037 / 493-738,,,5504takkokrusevac@gmail.com,Blagoja Parovica 20,,109
1024000079,5502 Takko Mladenovac,Functional,Operational,Shop,011 / 774-06-68,,,5502takkomladenovac@gmail.com,Brace Badzak 2,,109
1024000080,5506 Takko Novi Sad,Functional,Operational,Shop,021 / 539-008,,,5506takkonovisad@gmail.com,Sentandrejski put 11,,109
1024000081,5501 Takko Pancevo,Functional,Operational,Shop,013 / 355-470,,,5501takkopancevo@gmail.com,Milosa Obrenovica 12,,109
1024000082,5509 Takko Sabac,Functional,Operational,Shop,015 / 370-264,,,5509takkosabac@gmail.com,Zapada Transverzala I br. 4,,109
1024000083,5507 Takko Vozdovac,Functional,Operational,Shop,011 / 630-58-06,,,5507takkovozdovacbeograd@gmail.com,Zaplanjska 32,,109
1024000084,RS741 C&A Fashion Usce,Functional,Operational,Shop,011 / 715-00-46,063 / 861-63-81,,RS741causcebeograd@gmail.com,Bul. Mihajla Pupina 4,,110
1024000085,RS742 C&A Fashion BG Vozdovac,Functional,Operational,Shop,011 / 785-64-32,062 / 801-07-63,,RS742cavozdovacbeograd@gmail.com,Zaplanjska 32,,110
1024000086,RS743 C&A Fashion Pancevo,Functional,Operational,Shop,013 / 219-00-79,062 / 800-10-69,,RS743capancevo@gmail.com,Milosa Obrenovica br.12,,110
1024000087,RS744 C&A Fashion BG Delta City,Functional,Operational,Shop,011 / 785-64-20,062 / 801-07-61,,RS744cadeltacitybeograd@gmail.com,Jurija Gagarina 16,,110
1024000088,RS745 C&A Fashion NS Big,Functional,Operational,Shop,021 / 215-55-93,062 / 801-07-26,,RS745canovisadbig@gmail.com,Sentandrejski put 11,,110
1024000089,RS746 C&A Fashion KG Plaza,Functional,Operational,Shop,034 / 619-51-84,062 / 801-07-64,,RS746cakragujevac@gmail.com,Bulevar Kraljice Marije 56,,110
1024000090,RS747 C&A Fashion BG Karaburma,Functional,Operational,Shop,011 / 785-63-52,062 / 801-00-54,,RS747cakaraburmabeograd@gmail.com,Mirijevski Bulevar 18b,,110
1024000091,RS748 C&A Fashion Zemun,Functional,Operational,Shop,011 / 785-64-53,063 / 861-63-73,,RS748cazemun@gmail.com,Glavna 12-15,,110
1024000092,RS751 C&A Fashion Sabac,Functional,Operational,Shop,015 / 719-50-83,063 / 861-63-76,,RS751casabac@gmail.com,Zapadna Transverzala I br. 4,,110
1024000093,FIL007 - DM Nis,Functional,Operational,Shop,018 / 295-540,064 / 829-79-75,,fil007dmnis@gmail.com,Obrenoviceva 2,,114
1024000094,FIL014 - DM Novi Pazar,Functional,Operational,Shop,020 / 323-452,064 / 829-79-80,,fil014dmnovipazar@gmail.com,Rifata Burdzevica bb,,114
1024000095,FIL027 - DM Krusevac,Functional,Operational,Shop,037 / 423-658,064 / 829-79-95,,fil027dmkrusevac@gmail.com,Mirka Tomica 26,,114
1024000096,FIL044 - DM Nis,Functional,Operational,Shop,018 / 250-405,064 / 800-60-62,,fil044dmnis@gmail.com,Trg Nikole Pasica 29,,114
1024000097,FIL053 - DM Vranje,Functional,Operational,Shop,017 / 420-701,064 / 800-60-73,,fil053dmvranje@gmail.com,Stefana Prvovencanog 51,,114
1024000098,FIL055 - DM Nis,Functional,Operational,Shop,018 / 290-090,064 / 800-60-76,,fil055dmnis@gmail.com,Kralja Milana 11,,114
1024000099,FIL058 - DM Krusevac,Functional,Operational,Shop,,,,fil058dmkrusevac@gmail.com,Blagoja Parovica 20,,114
1024000100,Y101 Jysk Subotica,Functional,Operational,Shop,024 / 415-01-61,,,Y101JyskSubotica@gmail.com,Segedinski put 94-96,,106
1024000101,Y102 Jysk Pancevo,Functional,Operational,Shop,013 / 219-00-33,,,Y102JyskPancevo@gmail.com,Milosa Obrenovica 12,,106
1024000102,Y103 Jysk Novi Sad,Functional,Operational,Shop,021 / 210-06-77,,,Y103JyskNoviSad@gmail.com,Bulevar vojvode Stepe 38,,106
1024000103,Y104 Jysk Nis,Functional,Operational,Shop,018 / 415-04-16,,,Y104JyskNis@gmail.com,Ul. Majakovskog BB,,106
1024000104,Y105 Jysk Cacak,Functional,Operational,Shop,032 / 515-05-63,,,Y105JyskCacak@gmail.com,Ibarski put bb,,106
1024000105,Y106 Jysk Kragujevac,Functional,Operational,Shop,034 / 617-03-92,,,Y106JyskKragujevac@gmail.com,Save Kovacevica 27,,106
1024000106,Y107 Jysk Indjija,Functional,Operational,Shop,022 / 215-02-76,,,Y107JyskIndjija@gmail.com,Vojvode Stepe 11,,106
1024000107,Y108 Jysk NBG,Functional,Operational,Shop,011 / 228-44-19,,,Y108JyskNBG@gmail.com,Nehruova 68b,,106
1024000108,Y109 Jysk Uzice,Functional,Operational,Shop,031 / 565-595,,,Y109JyskUzice@gmail.com,Banjicka bb,,106
1024000109,Y110 Jysk Smederevo,Functional,Operational,Shop,012 / 641-50-462,,,Y110JyskSmederevo@gmail.com,Djure Salaja bb (Idea centar),,106
1024000110,Y111 Jysk Zrenjanin,Functional,Operational,Shop,023 / 315-03-40,,,Y111JyskZrenjanin@gmail.com,Barska bb,,106
1024000111,Y112 Jysk BG Karaburma,Functional,Operational,Shop,011 / 655-61-74,,,Y112JyskKaraburmaBeograd@gmail.com,Mirijevski bulevar 18b,,106
1024000112,Y113 Jysk BG Kaludjerica,Functional,Operational,Shop,011 / 655-61-98,,,Y113JyskKaludjericaBeograd@gmail.com,Vojvode Stepe Stepanovica 9i,,106
1024000113,Y114 Jysk Zemun,Functional,Operational,Shop,011 / 655-62-33,,,Y114JyskZemun@gmail.com,Batajnicki drum 1,,106
1024000114,Y115 Jusk BIG Novi Sad,Functional,Operational,Shop,021 / 210-03-59,,,Y115JyskNoviSadBig@gmail.com,Sentandrejski put 11,,106
1024000115,Y116 Jysk Vozdovac Stadion,Functional,Operational,Shop,011 / 655-62-31,,,Y116JyskVozdovacBeograd@gmail.com,Zaplanjska 32,,106
1024000116,Y117 Jysk Beograd Miljakovac,Functional,Operational,Shop,011 / 353-58-19,,,Y117JyskMiljakovacBeograd@gmail.com,Vareska 4,,106
1024000117,Y118 Jysk Sabac,Functional,Operational,Shop,,,,Y118JyskSabac@gmail.com,Zapada Transverzala I br. 4,,106
1024000118,Y119 Jysk Leskovac,Functional,Operational,Shop,016 / 315-00-05,,,Y119JyskLeskovac@gmail.com,Bulevar Oslobodenja bb,,106
1024000119,Y121 Jysk Jagodina,Functional,Operational,Shop,035 / 882-08-61,,,Y121JyskJagodina@gmail.com,Kneza Lazara 74,,106
1024000120,Y122 Jysk Pozarevac,Functional,Operational,Shop,012 / 716-01-08,,,Y122JyskPozarevac@gmail.com,Djure Djakovica bb,,106
1024000121,Y123 Idea NBG,Functional,Operational,Shop,011 / 655-64-46,,,Y123JyskIdeaNBG@gmail.com,Ulica Omladinskih brigada 100,,106
1024000122,Roda 346 MM Leskovac,Functional,Operational,Shop,,,,roda346mmleskovac@gmail.com,Mlinska 146,,112
1024000123,Idea 366 Novi Sad Sajam,Functional,Operational,Shop,,,,Idea366sajamns@gmail.com,Bulevar Kralja Petra I 55-59,,112
1024000124,Idea 378 Papazovac,Functional,Operational,Shop,,,,idea378papazovac@gmail.com,Dositeja Obradovica bb,,112
1024000125,Idea 412 SM Kaludjerica,Functional,Operational,Shop,,,,idea412kaludjerica@gmail.com,Vojvode Stepe Stepanovica 9i,,112
1024000126,Idea 368 Slavija,Functional,Operational,Shop,,,,idea368slavija@gmail.com,Crvene Armije bb,,112
1024000127,Idea 362 Centar 2,Functional,Operational,Shop,,,,idea362centar2@gmail.com,17. Oktobra 22,,112
1024000128,Idea 361 Centar 1,Functional,Operational,Shop,,,,idea361centar1@gmail.com,Radoslava Mirkovica 3,,112
1024000129,Idea 367 Lipe,Functional,Operational,Shop,,,,idea367lipe@gmail.com,Marsala Tita bb,,112
1024000130,Idea 376 Pozarevac 4,Functional,Operational,Shop,,,,idea376pozarevac4@gmail.com,Mose Pijade 40,,112
1024000131,Idea 372 Petrovac na Mlavi,Functional,Operational,Shop,,,,idea372petrovac@gmail.com,Srpskih Vladara 171,,112
1024000132,Idea 374 Pozarevac 2,Retired,Incident,Shop,,,,idea374pozarevac2@gmail.com,Cede Vasovica 12,,112
1024000133,Idea 375 Pozarevac 3,Functional,Operational,Shop,,,,idea375pozarevac3@gmail.com,Lole Ribara 23,,112
1024000134,Idea 381 MM Smederevska Palanka,Functional,Operational,Shop,,,,idea381mmsmedpalanka@gmail.com,Petra Munjasa bb,,112
1024000135,Idea 371 Azanja,Functional,Operational,Shop,,,,idea371mazanja@gmail.com,Milije Batinica bb,,112
1024000136,Idea 370 Smederevska Palanka,Functional,Operational,Shop,,,,idea370msmederevskapalanka@gmail.com,Prvog Srpskog Ustanka 13,,112
1024000137,Idea 369 Markovac,Functional,Operational,Shop,,,,idea369mmarkovac@gmail.com,4. Juli 1,,112
1024000138,Idea 380 SM Velika Plana,Functional,Operational,Shop,,,,idea380smvelikaplana@gmail.com,Milosa Velikog 40,,112
1024000139,Roda 379 MM Smederevo,Functional,Operational,Shop,,,,roda379mmsmederevo@gmail.com,Despota Djurdja bb,,112
1024000140,Idea 377 Donji Grad,Functional,Operational,Shop,,,,idea377donjigrad@gmail.com,Karadjordjeva 56,,112
1024000141,Idea 485 Smederevo,Functional,Operational,Shop,,,,idea485smederevo@gmail.com,Save Nemanjica 3,,112
1024000142,Idea 373 Pozarevac 1,Functional,Operational,Shop,,,,Idea373pozarevac1@gmail.com,7. Juli 31,,112
1024000143,Roda 363 MM Backa Topola,Functional,Operational,Shop,,,,roda363mmbtopola@gmail.com,Boljai Farkasa 2,,112
1024000144,Idea 358 Backa Topola,Functional,Operational,Shop,,,,idea358mbtopola@gmail.com,Matije Korvina 1/A,,112
1024000145,Idea 476 Bukovac,Functional,Operational,Shop,,,,Idea476bukovac@gmail.com,Karadjordjeva 74,,112
1024000146,Idea 477 Liman 2,Functional,Operational,Shop,,,,Idea477liman2@gmail.com,Veljka Petrovica 12,,112
1024000147,Idea 479 Rumenka,Functional,Operational,Shop,,,,idea479rumenka@gmail.com,Vojvodjanska 43,,112
1024000148,Idea 467 Sombor 1,Functional,Operational,Shop,,,,idea467sombor1@gmail.com,Staparski Put 3,,112
1024000149,Idea 468 Sombor 2,Functional,Operational,Shop,,,,idea468sombor2@gmail.com,Laze Kostica 1,,112
1024000150,Idea 469 Sombor 3,Functional,Operational,Shop,,,,idea469sombor3@gmail.com,Nike Maksimovica 2,,112
1024000151,Idea 470 Sombor 4,Functional,Operational,Shop,,,,idea470sombor4@gmail.com,Filipa Kljajica 38,,112
1024000152,Idea 471 Sombor 5,Functional,Operational,Shop,,,,idea471msombor5@gmail.com,Kamenka Gagrcina 2,,112
1024000153,Idea 480 Salajka,Functional,Operational,Shop,,,,idea480salajka@gmail.com,Kisacka 3,,112
1024000154,Idea 472 Stapar,Functional,Operational,Shop,,,,idea472stapar@gmail.com,Karadjordjev Plac 93,,112
1024000155,Idea 474 Svetozar Miletic,Functional,Operational,Shop,,,,idea474svetozarmiletic@gmail.com,Dositeja Obradovica 5A,,112
1024000156,Idea 478 Telep,Functional,Operational,Shop,,,,idea478telep@gmail.com,Fejes Klare 42,,112
1024000157,Idea 359 SM Ub - Nije na nasem odrzavanju,Retired,Incident,Shop,,,,idea359smub@gmail.com,Kralja Petra Prvog Oslobodioca 48,,112
1024000158,Idea 357 SM Terazije,Functional,Operational,Shop,,,,idea357terazije@gmail.com,Terazije 30-32,,112
1024000159,Idea 475 SM Ruma,Functional,Operational,Shop,,,,idea475smruma@gmail.com,15. Maja 141,,112
1024000160,Idea 465 SM Sombor 1,Functional,Operational,Shop,,,,idea465smsombor1@gmail.com,Sportska bb,,112
1024000161,Idea 473 SM Srbobran,Functional,Operational,Shop,,,,idea473srbobran@gmail.com,Trg Vladike Nikolaja Velimirovica 3,,112
1024000162,Idea 354 SM Zvezdara,Functional,Operational,Shop,,,,idea354zvezdara@gmail.com,Bulevar Kralja Aleksandra 518A,,112
1024000163,Idea 364 SM Senta,Functional,Operational,Shop,,,,idea364senta@gmail.com,Jovana Djordjevica 11,,112
1024000164,Idea 421 Vrbas,Functional,Operational,Shop,,,,Idea421mvrbas@gmail.com,Svetozara Markovica 58,,112
1024000165,Idea 386 Ridjica,Functional,Operational,Shop,,,,idea386mridjica@gmail.com,Svetog Save 50,,112
1024000166,Roda 340 C&C Mladenovac,Functional,Operational,Shop,,,,roda340ccmladenovac@gmail.com,Brace Badzak 2,,112
1024000167,Idea 387 Stanisic,Functional,Operational,Shop,,,,idea387mstanisic@gmail.com,Oslobodjenja 77,,112
1024000168,Idea 442 Futog,Functional,Operational,Shop,,,,idea442futogm@gmail.com,Carice Milice 26,,112
1024000169,Roda 410 SM Jagodina,Functional,Operational,Shop,,,,roda410smjagodina@gmail.com,Kneza Lazara 74,,112
1024000170,Idea 352 Centar Tehnike Vrbas,Functional,Operational,Shop,,,,idea352ctvrbas@gmail.com,Narodnog Fronta 51,,112
1024000171,Idea 384 SM Zajecar,Functional,Operational,Shop,,,,idea384zajecar@merkator.com,Krfska 18,,112
1024000172,Idea 409 Ada,Functional,Operational,Shop,,,,idea409mada@gmail.com,Vuka Karadzica 15,,112
1024000173,Idea 390 Stari Grad,Functional,Operational,Shop,,,,idea390starigrad@gmail.com,Decanska bb,,112
1024000174,Idea 397 SM Bajina Basta,Functional,Operational,Shop,,,,idea397smbbasta@gmail.com,Trg Dusana Jerkovica 1,,112
1024000175,Idea 392 SM Miljakovac,Functional,Operational,Shop,,,,idea392smmiljakovac@gmail.com,Vareska 4,,112
1024000176,Idea 393 SM Sava,Functional,Operational,Shop,,,,idea393sava@gmail.com,Jurija Gagarina 155,,112
1024000177,Idea 391 SM Dusanovac,Functional,Operational,Shop,,,,idea391dusanovac@gmail.com,Ustanicka 64A,,112
1024000178,Idea 399 SM Knjazevac,Functional,Operational,Shop,,,,idea399knjazevac@gmail.com,Trg Oslobodjenja 2,,112
1024000179,Idea 395 SM Kraljevo,Functional,Operational,Shop,,,,idea395smkraljevo@gmail.com,Milosa Velikog 3,,112
1024000180,Idea 398 SM Bor,Functional,Operational,Shop,,,,idea398mbor@gmail.com,Djordja Vajferta 2,,112
1024000181,Idea 396 SM Uzice,Functional,Operational,Shop,,,,idea396smuzice@gmail.com,Dimitrija Tucovica 91,,112
1024000182,Roda 349 MM Sabac,Functional,Operational,Shop,,,,roda349mmsabac@gmail.com,Jovana Cvijica 1A,,112
1024000183,Roda 408 MM Zrenjanin,Functional,Operational,Shop,,,,roda408mmzrenjanin@gmail.com,Pere Dobrinovica 35,,112
1024000184,Idea 402 SM Pirot,Functional,Operational,Shop,,,,idea402mpirot@gmail.com,Trg Pirotskih Oslobodioca bb,,112
1024000185,Idea 404 SM Leskovac,Functional,Operational,Shop,,,,idea404smleskovac2@gmail.com,Bulevar Oslobodjenja bb,,112
1024000186,Roda 383 SM Karaburma,Functional,Operational,Shop,,,,roda383smkaraburma@gmail.com,Mirijevski Bulevar 18b,,112
1024000187,Idea 460 Kula 1,Functional,Operational,Shop,,,,idea460mkula1@gmail.com,Veljka Vlahovica 4A,,112
1024000188,Roda 428 MM Beograd,Functional,Operational,Shop,,,,roda428mmbeograd2@gmail.com,Djordja Stanojevica 35,,112
1024000189,Roda 463 C&C Beograd,Functional,Operational,Shop,,,,roda463zmaj@gmail.com,Autoput 18,,112
1024000190,Roda 341 HM Beograd,Functional,Operational,Shop,,,,roda341hmmcbg@gmail.com,Bulevar Umetnosti 4,,112
1024000191,Idea 439 Becej,Functional,Operational,Shop,,,,idea439mbecej@gmail.com,Glavna Ulica 43,,112
1024000192,Roda 464 MM Kraljevo,Functional,Operational,Shop,,,,roda464cckraljevo@gmail.com,Tiosava Karapandzica 2B,,112
1024000193,Roda 453 MM Pancevo,Functional,Operational,Shop,,,,roda453mmpancevo@gmail.com,Skadarska bb,,112
